"Step","ur-tasks-merged-lora - loss","ur-tasks-merged-lora - loss__MIN","ur-tasks-merged-lora - loss__MAX"
"0","0.22698085010051727","0.22698085010051727","0.22698085010051727"
"100","0.131534606218338","0.131534606218338","0.131534606218338"
"200","0.08684207499027252","0.08684207499027252","0.08684207499027252"
"300","0.07258358597755432","0.07258358597755432","0.07258358597755432"
"400","0.06333760917186737","0.06333760917186737","0.06333760917186737"
"500","0.05935576185584068","0.05935576185584068","0.05935576185584068"
"600","0.05420835316181183","0.05420835316181183","0.05420835316181183"
"700","0.05312944948673248","0.05312944948673248","0.05312944948673248"
"800","0.054174985736608505","0.054174985736608505","0.054174985736608505"
"900","0.050526492297649384","0.050526492297649384","0.050526492297649384"
"1000","0.046774547547101974","0.046774547547101974","0.046774547547101974"
"1100","0.045554909855127335","0.045554909855127335","0.045554909855127335"
"1200","0.04504549875855446","0.04504549875855446","0.04504549875855446"
"1300","0.04589772969484329","0.04589772969484329","0.04589772969484329"
"1400","0.03964777663350105","0.03964777663350105","0.03964777663350105"
"1500","0.04490353539586067","0.04490353539586067","0.04490353539586067"
"1600","0.03956592082977295","0.03956592082977295","0.03956592082977295"
"1700","0.039871297776699066","0.039871297776699066","0.039871297776699066"
"1800","0.0369347482919693","0.0369347482919693","0.0369347482919693"
"1900","0.0394987128674984","0.0394987128674984","0.0394987128674984"
"2000","0.034996915608644485","0.034996915608644485","0.034996915608644485"
"2100","0.038935448974370956","0.038935448974370956","0.038935448974370956"
"2200","0.04097852483391762","0.04097852483391762","0.04097852483391762"
"2300","0.0367354191839695","0.0367354191839695","0.0367354191839695"
"2400","0.035403475165367126","0.035403475165367126","0.035403475165367126"
"2500","0.03487138822674751","0.03487138822674751","0.03487138822674751"
"2600","0.03620252013206482","0.03620252013206482","0.03620252013206482"
"2700","0.036752231419086456","0.036752231419086456","0.036752231419086456"
"2800","0.036448635160923004","0.036448635160923004","0.036448635160923004"
"2900","0.03506109118461609","0.03506109118461609","0.03506109118461609"
"3000","0.035776879638433456","0.035776879638433456","0.035776879638433456"
"3100","0.03612982854247093","0.03612982854247093","0.03612982854247093"
"3200","0.040835700929164886","0.040835700929164886","0.040835700929164886"
"3300","0.039080072194337845","0.039080072194337845","0.039080072194337845"
"3400","0.03896976634860039","0.03896976634860039","0.03896976634860039"
"3500","0.03620140999555588","0.03620140999555588","0.03620140999555588"
"3600","0.03377152979373932","0.03377152979373932","0.03377152979373932"
"3700","0.037020549178123474","0.037020549178123474","0.037020549178123474"
"3800","0.03262292221188545","0.03262292221188545","0.03262292221188545"
"3900","0.03557518497109413","0.03557518497109413","0.03557518497109413"
"4000","0.03587699681520462","0.03587699681520462","0.03587699681520462"
"4100","0.036505285650491714","0.036505285650491714","0.036505285650491714"
"4200","0.03574188053607941","0.03574188053607941","0.03574188053607941"
"4300","0.030081871896982193","0.030081871896982193","0.030081871896982193"
"4400","0.035746730864048004","0.035746730864048004","0.035746730864048004"
"4500","0.03816157579421997","0.03816157579421997","0.03816157579421997"
"4600","0.03730399161577225","0.03730399161577225","0.03730399161577225"
"4700","0.03288731351494789","0.03288731351494789","0.03288731351494789"
"4800","0.035140037536621094","0.035140037536621094","0.035140037536621094"
"4900","0.03383493795990944","0.03383493795990944","0.03383493795990944"
"5000","0.03385622799396515","0.03385622799396515","0.03385622799396515"
"5100","0.03271126374602318","0.03271126374602318","0.03271126374602318"
"5200","0.030993716791272163","0.030993716791272163","0.030993716791272163"
"5300","0.035383231937885284","0.035383231937885284","0.035383231937885284"
"5400","0.032636355608701706","0.032636355608701706","0.032636355608701706"
"5500","0.03305250406265259","0.03305250406265259","0.03305250406265259"
"5600","0.035121411085128784","0.035121411085128784","0.035121411085128784"
"5700","0.032737672328948975","0.032737672328948975","0.032737672328948975"
"5800","0.031624212861061096","0.031624212861061096","0.031624212861061096"
"5900","0.03340352326631546","0.03340352326631546","0.03340352326631546"
"6000","0.032390568405389786","0.032390568405389786","0.032390568405389786"
"6100","0.03321976959705353","0.03321976959705353","0.03321976959705353"
"6200","0.033731162548065186","0.033731162548065186","0.033731162548065186"
"6300","0.030438441783189774","0.030438441783189774","0.030438441783189774"
"6400","0.029918044805526733","0.029918044805526733","0.029918044805526733"
"6500","0.032150931656360626","0.032150931656360626","0.032150931656360626"
"6600","0.028881408274173737","0.028881408274173737","0.028881408274173737"
"6700","0.03334079682826996","0.03334079682826996","0.03334079682826996"
"6800","0.030262751504778862","0.030262751504778862","0.030262751504778862"
"6900","0.032077688723802567","0.032077688723802567","0.032077688723802567"
"7000","0.03159485384821892","0.03159485384821892","0.03159485384821892"
