"Step","ur-tasks-merged - loss","ur-tasks-merged - loss__MIN","ur-tasks-merged - loss__MAX"
"0","0.21599023044109344","0.21599023044109344","0.21599023044109344"
"30000","0.02648785337805748","0.02648785337805748","0.02648785337805748"
"30100","0.019254134967923164","0.019254134967923164","0.019254134967923164"
"30200","0.020533323287963867","0.020533323287963867","0.020533323287963867"
"30300","0.02123703435063362","0.02123703435063362","0.02123703435063362"
"30400","0.020650845021009445","0.020650845021009445","0.020650845021009445"
"30500","0.020842690020799637","0.020842690020799637","0.020842690020799637"
"30600","0.02122977189719677","0.02122977189719677","0.02122977189719677"
"30700","0.0202726311981678","0.0202726311981678","0.0202726311981678"
"30800","0.021177131682634354","0.021177131682634354","0.021177131682634354"
"30900","0.02047339454293251","0.02047339454293251","0.02047339454293251"
"31000","0.0212568286806345","0.0212568286806345","0.0212568286806345"
"31100","0.02202763594686985","0.02202763594686985","0.02202763594686985"
"31200","0.02045552246272564","0.02045552246272564","0.02045552246272564"
"31300","0.02078426256775856","0.02078426256775856","0.02078426256775856"
"31400","0.019894132390618324","0.019894132390618324","0.019894132390618324"
"31500","0.019657161086797714","0.019657161086797714","0.019657161086797714"
"31600","0.020169498398900032","0.020169498398900032","0.020169498398900032"
"31700","0.020496657118201256","0.020496657118201256","0.020496657118201256"
"31800","0.0196466576308012","0.0196466576308012","0.0196466576308012"
"31900","0.019108004868030548","0.019108004868030548","0.019108004868030548"
"32000","0.020678240805864334","0.020678240805864334","0.020678240805864334"
"32100","0.01917549967765808","0.01917549967765808","0.01917549967765808"
"32200","0.01938563957810402","0.01938563957810402","0.01938563957810402"
"32300","0.019850946962833405","0.019850946962833405","0.019850946962833405"
"32400","0.020770415663719177","0.020770415663719177","0.020770415663719177"
"32500","0.021136432886123657","0.021136432886123657","0.021136432886123657"
"32600","0.021033085882663727","0.021033085882663727","0.021033085882663727"
"32700","0.020161811262369156","0.020161811262369156","0.020161811262369156"
"32800","0.02021205611526966","0.02021205611526966","0.02021205611526966"
"32900","0.020220782607793808","0.020220782607793808","0.020220782607793808"
"33000","0.020549101755023003","0.020549101755023003","0.020549101755023003"
"33100","0.019708052277565002","0.019708052277565002","0.019708052277565002"
"33200","0.01972556859254837","0.01972556859254837","0.01972556859254837"
